label,Label,Deposit,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
1,Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,64.87,0.18,16.89,1.23,0.02,0.36,0.98,4.42,6.28,0.21,118.0,533.0,10.53,74.17,4.93,750.0,11.69,19.53,2.13,8.14,1.75,0.61,1.11,0.22,1.43,0.35,1.07,0.2,1.37,0.21,2.36,0.36,4.49,1.62
0,Au-rich PCDs,Atlas Cu-Au,58.92,0.49,17.04,6.12,0.1,3.08,5.71,3.12,0.97,0.18,16.6,543.0,13.2,88.0,3.6,204.0,17.3,35.8,4.09,15.1,2.96,1.01,2.53,0.38,2.23,0.49,1.41,0.2,1.36,0.23,2.5,0.2,3.65,0.63
1,Cu-rich PCDs,Shujiadian Cu,54.3,0.9,17.3,6.5,0.1,2.7,6.2,4.3,3.7,0.4,66.5,912.0,17.1,55.5,18.5,770.0,54.6,102.0,11.4,42.5,7.0,1.8,6.0,0.8,3.9,0.7,2.2,0.3,1.9,0.3,2.1,1.0,10.1,2.6
0,Au-rich PCDs,Pulang Cu-Au,65.3,0.54,13.65,4.25,0.05,2.28,3.52,3.43,4.5,0.36,150.0,644.0,14.9,135.0,13.6,946.0,30.7,59.1,6.77,25.1,4.64,1.12,3.71,0.58,2.74,0.53,1.47,0.22,1.35,0.21,3.92,1.03,20.5,6.39
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,67.7,0.3,16.2,3.1,0.1,0.9,3.7,4.8,1.8,0.1,24.3,586.8,5.6,67.6,2.0,859.0,8.9,18.1,2.3,9.5,1.7,0.5,1.5,0.2,1.1,0.2,0.6,0.1,0.6,0.1,1.9,0.1,1.5,0.9
1,Cu-rich PCDs,Baogutu Cu-Mo,58.91,0.75,16.59,7.12,0.09,3.56,5.85,3.85,1.5,0.17,32.19,618.0,14.36,94.54,2.17,604.0,9.69,22.7,3.06,14.37,3.02,1.06,3.0,0.46,2.73,0.52,1.52,0.21,1.37,0.22,2.82,0.12,2.01,0.33
1,Cu-rich PCDs,Aktogai Cu,74.0,0.34,13.62,1.62,0.02,1.33,0.39,3.33,2.39,0.11,71.4,625.0,10.3,58.7,2.74,919.0,17.6,32.6,3.68,19.0,3.53,0.79,2.0,0.32,1.55,0.3,0.98,0.15,1.05,0.15,2.48,0.21,8.29,1.34
0,Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,70.37,0.21,16.4,1.28,0.01,0.42,1.0,4.97,3.28,0.07,39.15,185.18,2.19,94.13,3.58,562.88,7.68,13.78,1.87,7.26,1.26,0.35,0.89,0.11,0.55,0.1,0.31,0.05,0.35,0.06,2.56,0.17,1.19,0.82
0,Au-rich PCDs,Koksai Cu-Au,67.79,0.45,15.34,2.47,0.03,1.75,1.32,4.23,3.52,0.19,72.4,141.0,6.75,65.2,7.52,782.0,11.3,21.4,2.52,8.8,1.54,0.5,1.4,0.24,1.23,0.22,0.69,0.11,0.74,0.11,2.26,0.64,5.91,2.75
1,Cu-rich PCDs,Erdenet Cu-Mo,68.13,0.55,14.95,3.64,0.05,1.44,1.41,4.57,3.36,0.14,43.9,966.0,13.1,178.0,4.98,759.0,17.1,34.4,4.31,17.1,3.33,0.83,2.65,0.49,2.55,0.47,1.46,0.23,1.48,0.23,5.93,0.49,6.78,1.71
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.7,0.3,16.4,2.6,0.1,0.7,3.4,4.8,2.0,0.1,35.1,700.1,6.3,81.5,1.9,1026.0,11.0,21.3,2.4,8.9,1.5,0.5,1.3,0.2,1.1,0.2,0.6,0.1,0.6,0.1,2.3,0.1,1.7,0.7
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.87,0.33,16.86,3.27,0.07,1.0,4.08,4.78,1.74,0.12,26.8,714.9,5.8,77.2,1.7,835.0,9.9,18.0,2.24,9.3,1.66,0.49,1.39,0.19,0.95,0.2,0.61,0.1,0.56,0.11,2.8,0.2,1.7,0.6
0,Au-rich PCDs,Xiongcun I Cu-Au,68.89,0.4,17.71,3.24,0.05,0.79,0.27,0.43,5.02,0.02,120.0,30.4,4.94,94.1,7.09,164.0,7.58,12.1,1.83,7.94,1.53,0.47,1.3,0.16,0.9,0.2,0.61,0.1,0.69,0.12,2.66,0.44,3.18,0.55
1,Cu-rich PCDs,Quellaveco Cu-Mo,66.96,0.28,15.92,3.03,0.11,1.29,1.47,2.98,5.04,0.11,109.2,383.2,5.2,85.2,3.2,900.0,14.6,29.2,3.26,11.8,2.14,0.54,1.52,0.19,1.09,0.2,0.56,0.07,0.57,0.09,2.5,0.2,3.0,0.8
1,Cu-rich PCDs,Baogutu Cu-Mo,59.1,0.74,15.9,6.15,0.09,4.82,6.26,3.8,1.64,0.15,63.6,523.0,17.6,81.0,2.73,466.0,12.5,27.1,3.58,17.4,3.67,0.98,3.37,0.57,3.23,0.64,1.86,0.26,1.74,0.27,2.63,0.23,3.68,1.03
