label,Label,Deposit,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
0,Au-rich PCDs,Shaxi Cu-Au,55.9,0.59,17.5,5.76,0.03,2.92,5.43,4.56,1.77,0.35,35.0,1070.0,9.7,32.6,4.5,610.0,15.1,31.7,3.94,16.2,3.38,1.16,3.29,0.41,2.32,0.41,1.1,0.15,0.94,0.14,1.1,0.25,2.5,0.8
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.6,0.2,15.7,2.5,0.1,0.7,3.0,4.6,2.3,0.1,36.8,556.2,5.6,64.0,1.9,968.0,8.5,19.3,2.1,7.9,1.5,0.4,1.3,0.2,1.1,0.2,0.6,0.1,0.7,0.1,1.9,0.1,2.4,1.3
1,Cu-rich PCDs,Luoboling Cu-Mo,65.31,0.54,15.93,1.53,0.05,1.9,4.72,1.71,8.03,0.28,203.0,353.0,16.2,120.0,13.1,764.0,35.4,69.2,7.4,26.8,4.56,1.24,3.62,0.47,2.65,0.53,1.53,0.24,1.59,0.25,3.2,1.4,15.0,5.88
1,Cu-rich PCDs,Quellaveco Cu-Mo,66.34,0.33,16.31,3.45,0.05,1.19,2.66,3.39,2.56,0.13,58.3,531.5,5.3,96.7,3.1,733.0,13.3,26.5,2.83,10.7,1.96,0.63,1.41,0.19,1.06,0.2,0.6,0.09,0.6,0.09,2.9,0.2,3.4,1.1
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.1,0.3,15.9,2.7,0.1,0.8,3.2,4.7,2.1,0.1,41.7,571.0,6.9,81.9,2.2,948.0,11.1,21.0,2.3,10.0,1.5,0.5,1.4,0.2,0.8,0.2,0.6,0.1,0.6,0.1,1.8,0.2,2.0,1.1
0,Au-rich PCDs,Schaft Creek Cu-Mo-Au,67.14,0.431,15.71,3.52,0.11,1.45,3.44,4.45,2.97,0.15,71.0,572.0,12.0,124.0,4.7,1212.0,15.0,28.6,3.44,13.06,2.69,0.783,2.37,0.38,2.01,0.39,1.17,0.183,1.25,0.19,3.5,0.5,5.53,2.22
1,Cu-rich PCDs,Baogutu Cu-Mo,58.18,0.74,17.66,6.99,0.09,3.21,6.28,4.07,1.26,0.16,20.24,637.0,11.78,75.62,1.85,479.0,8.53,19.7,2.62,11.77,2.59,0.92,2.53,0.36,2.29,0.46,1.33,0.19,1.12,0.19,2.31,0.11,1.61,0.5
0,Au-rich PCDs,Nurkazghan Cu-Au,62.79,0.42,16.1,5.06,0.03,1.25,3.74,3.88,3.77,0.19,87.4,458.0,15.9,115.0,6.56,815.0,12.6,21.7,2.55,11.1,2.47,0.91,2.18,0.36,2.67,0.5,1.57,0.25,1.7,0.28,3.0,0.47,4.33,1.73
0,Au-rich PCDs,Almalyk Cu-Au,69.83,0.22,12.87,1.78,0.05,0.79,0.94,0.29,8.76,0.06,210.63,109.82,21.77,143.09,8.11,732.54,21.57,42.63,5.13,18.57,3.96,0.77,3.92,0.61,3.39,0.78,2.08,0.32,1.99,0.29,4.66,1.05,14.74,6.36
1,Cu-rich PCDs,El Abra Cu-Mo,68.3,0.33,16.99,2.5,0.04,0.8,3.28,4.72,2.85,0.14,68.0,724.0,6.5,113.0,6.2,858.0,24.4,44.2,4.59,16.4,2.58,0.7,2.1,0.24,1.24,0.24,0.68,0.108,0.67,0.11,2.8,0.63,6.66,2.54
1,Cu-rich PCDs,Jebel Ohier Cu-Au,53.4,1.71,17.35,9.27,0.14,4.0,7.25,3.75,1.79,0.54,34.0,590.0,29.0,233.0,5.7,693.0,18.8,44.7,5.85,26.3,6.66,1.79,6.18,0.92,5.82,1.14,3.22,0.47,3.5,0.45,5.7,0.2,2.62,1.03
0,Au-rich PCDs,Oyu Tolgoi Cu-Au,63.1,0.33,16.61,3.78,0.08,0.73,1.96,4.91,3.96,0.13,69.0,695.0,12.3,104.0,4.7,821.0,11.4,20.8,2.33,9.59,2.07,0.68,2.02,0.33,1.91,0.4,1.26,0.21,1.54,0.28,2.4,0.34,2.81,1.71
0,Au-rich PCDs,Pulang Cu-Au,65.29,0.57,14.58,3.68,0.03,2.36,2.97,3.56,4.84,0.38,165.0,652.0,14.6,172.0,12.4,959.0,29.1,55.2,6.15,22.9,4.32,1.12,3.51,0.49,2.69,0.47,1.38,0.2,1.42,0.19,4.72,0.98,18.5,3.91
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.9,0.3,16.1,2.7,0.1,0.7,3.2,4.9,1.9,0.1,29.6,628.2,7.5,76.3,2.2,819.0,10.7,22.6,2.9,11.3,2.2,0.5,1.9,0.2,1.5,0.3,0.8,0.1,0.7,0.1,2.4,0.1,1.6,0.7
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.4,0.3,16.3,2.9,0.1,0.8,3.7,4.8,1.9,0.1,33.2,588.5,4.4,64.0,1.7,894.0,8.9,16.0,1.9,7.2,1.3,0.5,1.3,0.2,0.8,0.2,0.5,0.1,0.5,0.1,1.9,0.1,1.5,1.0
1,Cu-rich PCDs,Quellaveco Cu-Mo,64.82,0.5,17.4,3.41,0.03,1.28,3.33,4.49,2.13,0.19,55.8,689.1,6.5,110.7,4.5,756.0,27.9,51.9,6.02,21.9,3.29,0.9,2.42,0.28,1.38,0.23,0.59,0.09,0.56,0.09,2.9,0.2,3.7,1.0
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,65.7,0.4,16.8,3.8,0.1,1.3,4.4,4.7,1.8,0.2,30.2,705.1,7.0,83.0,1.8,787.0,8.3,18.4,2.2,10.4,1.8,0.6,1.7,0.2,1.2,0.2,0.7,0.1,0.7,0.1,2.6,0.1,1.7,0.6
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.3,0.3,16.2,2.8,0.1,0.8,3.6,4.8,1.9,0.1,35.5,596.3,5.7,76.9,1.9,842.0,9.9,19.0,2.2,8.9,1.6,0.5,1.5,0.2,1.1,0.2,0.6,0.1,0.6,0.1,1.9,0.1,2.0,0.9
0,Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,65.11,0.33,15.68,4.2,0.05,1.59,3.42,3.85,3.12,0.13,52.1,523.0,9.2,99.0,4.5,472.0,13.8,27.5,3.3,12.5,2.48,0.71,2.01,0.3,1.61,0.31,0.95,0.14,1.09,0.18,2.7,0.38,3.25,1.56
1,Cu-rich PCDs,Tuwu-Yandong Cu,74.4,0.18,12.57,1.97,0.03,0.84,3.41,0.4,3.1,0.11,45.3,582.0,3.68,29.6,3.25,536.0,10.4,20.0,2.34,8.6,1.48,0.43,1.0,0.14,0.78,0.14,0.38,0.06,0.44,0.07,0.94,0.23,1.06,0.4
1,Cu-rich PCDs,Luoboling Cu-Mo,71.09,0.33,13.82,1.12,0.03,0.91,3.11,1.39,8.05,0.13,188.5,331.0,12.4,149.0,16.8,866.0,32.5,61.0,6.4,22.9,3.75,1.09,3.33,0.51,2.86,0.59,1.79,0.28,1.92,0.33,4.1,1.9,13.55,6.04
1,Cu-rich PCDs,Tuwu-Yandong Cu,65.34,0.36,16.13,5.05,0.04,1.68,2.22,2.98,2.09,0.15,49.1,566.0,9.53,53.6,2.41,461.0,14.8,29.3,3.73,15.3,2.71,0.88,2.23,0.35,1.96,0.36,1.1,0.16,1.15,0.18,1.82,0.2,1.44,0.97
0,Au-rich PCDs,Almalyk Cu-Au,65.53,0.3,14.25,5.66,0.05,1.3,1.79,2.67,5.79,0.19,130.0,349.0,13.4,143.0,7.5,482.0,24.17,42.42,4.79,17.86,3.35,0.81,2.85,0.4,2.21,0.46,1.35,0.21,1.4,0.22,4.2,0.64,19.3,6.66
0,Au-rich PCDs,Almalyk Cu-Au,66.55,0.28,14.07,4.73,0.09,1.09,0.97,0.96,7.16,0.17,180.0,137.0,10.3,131.0,5.63,766.0,12.51,20.43,2.45,9.89,2.19,0.64,1.99,0.29,1.66,0.33,0.92,0.14,0.91,0.14,4.05,0.56,21.5,4.23
0,Au-rich PCDs,Bozshakol Cu-Au,73.13,0.31,14.12,1.71,0.02,1.26,0.71,3.75,3.02,0.17,52.2,216.0,13.9,91.7,5.76,718.0,16.9,29.2,3.14,13.4,2.74,0.91,2.8,0.37,2.37,0.42,1.17,0.18,1.11,0.18,2.88,0.31,2.84,0.57
1,Cu-rich PCDs,Baogutu Cu-Mo,58.0,0.73,17.2,6.28,0.09,4.48,6.94,4.13,1.03,0.16,24.8,769.0,11.1,138.0,1.41,329.0,6.65,15.1,2.12,10.6,2.46,0.81,2.26,0.4,2.11,0.42,1.17,0.17,1.1,0.18,3.14,0.09,0.85,0.3
1,Cu-rich PCDs,Wunugetushan Cu-Mo,76.65,0.18,11.15,0.85,0.03,0.49,0.67,1.13,5.69,0.07,100.0,112.0,17.3,30.6,7.0,510.0,19.7,37.9,4.0,14.3,2.6,0.5,2.5,0.4,2.5,0.6,1.7,0.3,2.0,0.3,1.1,0.7,11.0,2.5
0,Au-rich PCDs,Altar region Cu-Au,63.55,0.66,17.84,3.54,0.05,1.38,4.22,5.47,1.8,0.24,43.5,1019.5,7.2,141.3,5.4,561.0,19.5,42.2,5.49,22.3,3.53,0.99,2.25,0.28,1.28,0.23,0.59,0.08,0.58,0.09,3.6,0.4,3.3,1.1
1,Cu-rich PCDs,Baogutu Cu-Mo,65.13,0.57,15.23,4.38,0.05,2.63,4.02,4.09,2.66,0.13,53.34,496.8,14.93,171.5,3.86,708.9,14.63,29.42,3.79,14.8,3.13,0.83,2.66,0.42,2.61,0.54,1.51,0.22,1.44,0.22,5.0,0.32,6.16,1.45
1,Cu-rich PCDs,Erdenet Cu-Mo,59.06,1.08,16.4,6.81,0.1,2.45,4.59,4.39,3.18,0.3,78.3,754.0,23.3,334.0,8.4,827.0,23.8,49.8,6.62,27.2,5.5,1.21,5.44,0.75,4.5,0.87,2.6,0.37,2.39,0.35,7.28,0.62,8.33,0.72
0,Au-rich PCDs,Pulang Cu-Au,65.51,0.52,15.36,3.61,0.03,2.14,2.96,3.58,3.58,0.28,85.2,908.0,13.1,170.0,10.7,1240.0,19.5,38.7,4.61,18.4,3.71,0.92,3.02,0.42,2.39,0.43,1.15,0.17,1.27,0.17,4.6,0.84,14.3,3.19
0,Au-rich PCDs,Pulang Cu-Au,64.0,0.6,14.2,6.2,0.07,2.6,3.9,2.7,4.7,0.5,137.0,719.0,14.0,177.0,13.6,1289.0,31.4,61.1,6.8,26.6,5.1,1.4,4.47,0.59,3.2,0.58,1.56,0.23,1.56,0.23,4.9,1.7,16.5,2.72
1,Cu-rich PCDs,Yuhai Cu-Mo,61.3,0.4,16.91,5.49,0.06,2.63,4.48,3.99,0.63,0.23,11.3,772.0,17.4,78.7,2.83,336.0,14.2,27.5,3.76,17.3,3.74,1.15,3.14,0.55,3.25,0.55,1.84,0.32,1.93,0.34,2.35,0.2,1.8,1.23
1,Cu-rich PCDs,Xiaokelehe Cu-Mo,63.68,0.74,16.36,4.46,0.06,1.79,3.7,5.09,2.82,0.27,56.3,1130.0,8.7,177.0,6.6,995.0,32.8,67.2,7.59,27.9,4.87,1.21,3.09,0.38,1.86,0.33,0.8,0.11,0.67,0.1,4.6,0.44,4.23,1.6
1,Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,64.55,0.26,17.83,1.35,0.02,0.5,1.1,5.02,6.58,0.2,122.0,619.0,13.01,83.75,6.29,1004.0,16.48,28.81,3.11,12.06,2.53,0.8,1.55,0.3,1.9,0.46,1.39,0.26,1.74,0.27,2.58,0.41,3.42,2.34
1,Cu-rich PCDs,Yuhai Cu-Mo,62.86,0.38,16.85,5.13,0.09,1.81,5.0,4.19,0.49,0.21,6.3,791.0,12.8,52.0,2.47,314.0,16.9,33.2,4.18,17.6,3.34,1.15,2.64,0.43,2.26,0.44,1.25,0.23,1.49,0.23,1.56,0.14,1.43,0.73
1,Cu-rich PCDs,Baogutu Cu-Mo,60.42,0.71,17.45,6.06,0.09,2.88,5.98,4.18,1.05,0.18,19.42,656.0,13.9,93.93,2.85,530.3,10.67,21.43,3.11,12.71,2.87,0.9,2.52,0.4,2.45,0.51,1.43,0.21,1.41,0.22,2.89,0.18,1.78,0.58
1,Cu-rich PCDs,Wunugetushan Cu-Mo,71.57,0.24,14.82,1.8,0.02,0.25,0.92,4.43,3.93,0.09,114.0,43.7,3.92,135.0,4.98,760.0,16.1,30.2,3.46,11.6,1.85,0.46,1.23,0.15,0.62,0.11,0.31,0.05,0.39,0.07,3.85,0.31,2.27,0.8
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,65.83,0.36,16.95,3.39,0.05,1.1,4.46,4.83,1.46,0.14,20.5,833.9,5.8,97.4,1.4,846.0,9.1,18.3,2.17,9.4,1.88,0.61,1.51,0.21,1.32,0.19,0.56,0.11,0.65,0.1,2.2,0.2,1.5,0.7
0,Au-rich PCDs,Atlas Cu-Au,59.11,0.54,16.59,6.68,0.09,3.84,3.98,4.36,2.2,0.2,43.7,752.0,13.9,91.0,2.8,0.06,18.4,36.7,4.11,16.0,3.18,1.06,2.87,0.39,2.32,0.48,1.41,0.22,1.46,0.23,2.5,0.2,3.08,0.69
1,Cu-rich PCDs,Jebel Ohier Cu-Au,66.5,0.46,17.15,3.88,0.06,1.62,4.0,4.79,2.25,0.14,38.9,848.0,6.4,107.0,2.7,669.0,10.7,23.5,2.55,11.5,2.4,0.71,1.71,0.25,1.22,0.23,0.72,0.1,0.63,0.09,2.7,0.4,1.73,1.06
1,Cu-rich PCDs,Quellaveco Cu-Mo,66.76,0.36,16.86,2.46,0.04,1.21,3.39,4.24,2.43,0.15,48.6,614.9,6.2,95.6,3.6,1652.0,15.7,31.8,3.53,13.4,2.42,0.66,1.64,0.21,1.12,0.21,0.6,0.09,0.59,0.1,2.7,0.3,3.2,1.1
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.9,0.3,16.2,2.7,0.1,0.8,3.3,4.8,2.0,0.1,31.3,571.1,6.1,64.0,2.3,1030.0,10.7,19.5,2.3,8.4,1.8,0.5,1.5,0.2,1.2,0.2,0.6,0.1,0.7,0.1,1.8,0.2,1.8,0.8
0,Au-rich PCDs,Cobre Panama Cu-Mo-Au,62.28,0.52,15.01,5.67,0.2,2.19,5.33,2.13,3.65,0.16,78.2,487.9,13.8,118.4,6.9,1395.0,14.7,24.6,2.85,11.5,2.33,0.72,2.38,0.41,2.1,0.51,1.53,0.25,1.52,0.25,3.2,0.4,2.9,1.0
1,Cu-rich PCDs,Tuwu-Yandong Cu,68.84,0.25,15.76,2.08,0.04,1.11,2.59,4.27,2.18,0.1,32.27,479.0,7.35,57.1,2.68,415.0,9.3,19.1,2.29,9.0,1.66,0.71,1.44,0.2,1.31,0.21,0.69,0.16,0.82,0.13,1.61,0.27,1.52,0.68
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.86,0.26,15.92,2.55,0.05,0.82,3.45,4.39,1.98,0.11,32.5,614.8,8.2,58.7,1.9,893.0,10.2,23.4,3.03,13.1,2.14,0.5,1.8,0.25,1.36,0.33,0.77,0.13,0.83,0.11,1.5,0.2,1.7,0.6
1,Cu-rich PCDs,Erdenet Cu-Mo,69.97,0.38,15.58,1.88,0.02,0.97,0.72,5.44,3.2,0.13,53.0,479.0,5.39,146.0,2.61,761.0,8.5,16.0,2.23,8.9,1.61,0.46,1.4,0.2,1.1,0.22,0.65,0.09,0.64,0.09,3.55,0.21,2.5,1.04
0,Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,64.45,0.32,15.55,3.85,0.04,1.78,3.25,3.78,2.91,0.12,48.6,578.0,8.9,110.0,4.2,482.0,13.6,26.8,3.25,12.6,2.37,0.68,1.96,0.28,1.52,0.32,0.97,0.15,1.08,0.17,2.8,0.35,2.75,1.23
1,Cu-rich PCDs,Baogutu Cu-Mo,57.97,0.66,15.7,7.03,0.1,3.89,4.35,5.02,1.54,0.18,66.86,556.0,16.64,62.21,2.11,301.2,8.1,17.93,2.72,12.11,2.89,0.67,2.8,0.45,2.91,0.6,1.7,0.26,1.69,0.25,1.99,0.13,0.28,0.8
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,67.9,0.3,16.5,3.1,0.1,0.9,4.0,4.8,1.9,0.1,32.9,611.8,6.1,67.4,1.8,828.0,9.7,18.7,2.2,9.2,1.6,0.6,1.6,0.2,1.3,0.2,0.6,0.1,0.6,0.1,2.2,0.1,1.6,1.0
0,Au-rich PCDs,Altar region Cu-Au,64.25,0.69,18.54,3.64,0.03,1.28,2.17,5.45,1.54,0.07,58.8,799.7,6.7,135.9,4.6,421.0,21.6,44.5,5.28,20.5,2.93,0.86,1.98,0.26,1.28,0.23,0.66,0.09,0.66,0.08,3.6,0.3,3.0,1.0
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.0,0.3,15.8,2.7,0.1,0.8,3.3,4.6,2.2,0.1,38.5,568.6,5.1,74.0,1.8,934.0,9.4,17.1,2.0,8.5,1.6,0.5,1.4,0.2,1.1,0.2,0.5,0.1,0.5,0.1,2.4,0.1,1.4,0.6
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,67.6,0.3,16.4,3.0,0.1,0.9,3.8,4.7,1.9,0.1,32.9,708.5,6.1,78.6,1.8,860.0,9.1,18.8,2.2,10.1,1.3,0.5,1.4,0.2,0.8,0.2,0.5,0.1,0.7,0.1,2.3,0.2,1.5,0.9
1,Cu-rich PCDs,Shujiadian Cu,54.9,0.9,17.5,6.7,0.2,2.8,8.0,4.2,3.6,0.4,61.0,1025.0,16.9,104.5,13.9,895.0,48.5,90.8,10.3,37.8,6.5,1.7,5.6,0.7,3.5,0.6,2.0,0.3,1.6,0.2,4.9,0.9,9.7,2.4
0,Au-rich PCDs,Atlas Cu-Au,60.97,0.48,16.78,5.99,0.09,2.93,4.52,3.64,2.48,0.18,33.4,881.0,12.8,125.0,3.6,0.08,21.9,41.8,4.46,17.2,3.13,1.02,2.55,0.34,2.2,0.45,1.38,0.21,1.41,0.23,3.2,0.2,3.86,0.8
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.54,0.23,15.79,2.5,0.06,0.74,3.12,4.61,2.09,0.1,35.1,583.3,4.6,64.4,1.6,861.0,9.1,16.1,1.81,6.3,1.21,0.43,1.05,0.14,0.58,0.18,0.47,0.07,0.6,0.09,2.1,0.2,2.0,0.8
1,Cu-rich PCDs,Borly Cu-Mo,65.88,0.63,16.81,4.69,0.06,2.43,0.53,1.83,3.9,0.23,291.0,187.0,13.9,119.0,8.5,400.0,30.2,54.2,6.33,23.4,4.26,0.93,3.32,0.54,2.72,0.5,1.42,0.25,1.65,0.24,3.79,0.89,18.8,6.88
0,Au-rich PCDs,Schaft Creek Cu-Mo-Au,65.98,0.438,15.63,3.01,0.07,1.65,2.88,5.44,2.01,0.16,46.0,453.0,12.0,118.0,4.6,761.0,13.57,27.6,3.2,12.16,2.65,0.781,2.24,0.37,2.17,0.41,1.22,0.197,1.34,0.21,3.2,0.4,4.95,3.07
1,Cu-rich PCDs,Erdenet Cu-Mo,59.32,0.72,17.52,6.75,0.09,2.67,5.48,4.77,1.44,0.3,23.1,952.0,13.9,121.0,3.92,495.0,17.6,35.8,4.5,18.7,3.63,1.09,3.66,0.48,2.75,0.55,1.5,0.21,1.36,0.2,3.04,0.31,3.61,0.8
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.0,0.2,16.0,2.5,0.1,0.8,3.0,4.7,2.2,0.1,41.4,550.3,5.2,70.8,2.2,985.0,10.1,19.3,2.0,5.9,1.4,0.5,1.1,0.2,0.9,0.2,0.5,0.1,0.7,0.1,2.1,0.1,1.8,1.3
1,Cu-rich PCDs,Luoboling Cu-Mo,64.65,0.53,15.19,4.59,0.12,2.06,3.98,3.0,3.54,0.24,136.0,529.0,19.26,179.0,15.48,738.0,38.01,67.61,7.79,25.98,5.55,1.04,4.25,0.64,3.44,0.75,2.08,0.35,2.24,0.33,4.65,1.62,19.76,5.85
1,Cu-rich PCDs,Wunugetushan Cu-Mo,68.96,0.21,15.03,2.19,0.04,0.4,1.97,3.97,3.38,0.08,97.6,428.0,5.91,115.9,5.65,680.9,15.14,30.08,3.5,13.22,2.1,0.57,1.62,0.2,1.08,0.2,0.55,0.08,0.53,0.09,3.09,0.37,3.33,0.9
0,Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,62.5,0.42,17.36,5.69,0.09,2.18,3.18,2.58,3.76,0.15,66.8,546.0,10.3,70.4,4.63,624.0,13.3,27.2,3.23,12.9,2.62,0.83,2.33,0.31,1.76,0.35,1.01,0.14,1.04,0.15,1.91,0.43,2.07,1.8
0,Au-rich PCDs,Atlas Cu-Au,59.16,0.47,16.96,5.36,0.07,2.94,5.23,4.11,1.42,0.18,18.6,981.0,13.2,91.0,3.5,317.0,15.5,32.0,3.75,15.3,2.94,0.9,2.51,0.38,2.28,0.47,1.37,0.21,1.46,0.24,2.5,0.2,3.53,0.55
1,Cu-rich PCDs,Yuhai Cu-Mo,63.17,0.39,17.21,5.22,0.06,2.55,4.18,4.18,1.33,0.21,30.5,609.0,12.7,71.2,2.73,457.0,20.1,35.5,4.37,17.8,3.12,1.01,2.75,0.5,2.44,0.49,1.33,0.25,1.6,0.22,2.25,0.24,1.89,1.46
0,Au-rich PCDs,Cobre Panama Cu-Mo-Au,66.04,0.33,16.13,4.68,0.06,1.43,3.89,3.96,1.69,0.15,31.6,641.9,10.5,104.2,7.8,759.0,19.4,31.6,3.68,13.5,2.3,0.67,2.12,0.32,1.84,0.39,1.17,0.2,1.37,0.21,2.6,0.5,3.3,1.1
0,Au-rich PCDs,Pulang Cu-Au,59.0,0.7,14.3,9.9,0.1,3.4,5.2,2.7,4.0,0.4,96.0,948.0,15.0,169.0,10.6,2058.0,37.7,71.6,7.84,29.9,6.16,1.54,5.09,0.63,3.34,0.6,1.66,0.23,1.59,0.24,4.2,1.13,13.1,3.51
1,Cu-rich PCDs,El Abra Cu-Mo,67.62,0.37,16.75,2.94,0.03,0.92,3.77,4.79,2.63,0.16,69.0,783.0,5.8,103.0,5.3,833.0,21.2,39.0,4.09,15.2,2.56,0.682,1.73,0.22,1.15,0.22,0.63,0.092,0.65,0.09,2.6,0.59,5.57,2.55
1,Cu-rich PCDs,Baogutu Cu-Mo,57.06,0.75,17.19,7.17,0.09,4.39,6.17,3.72,1.52,0.16,25.06,881.0,10.7,52.72,1.6,696.0,6.59,16.13,2.23,10.35,2.2,0.97,2.33,0.36,2.08,0.43,1.13,0.16,1.11,0.17,1.79,0.49,1.44,0.43
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.1,0.3,16.4,2.6,0.1,0.7,3.4,4.7,2.0,0.1,28.0,606.3,6.0,66.3,1.6,772.0,8.4,19.0,2.1,9.4,1.6,0.4,1.2,0.2,1.4,0.2,0.8,0.1,0.9,0.1,1.9,0.2,1.7,0.8
0,Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,63.82,0.37,15.72,5.1,0.09,1.78,6.2,5.12,1.61,0.16,14.6,869.0,9.7,97.0,4.8,225.0,13.0,26.9,3.29,12.4,2.59,0.81,2.17,0.31,1.8,0.32,1.07,0.16,1.12,0.18,2.8,0.32,2.76,1.31
1,Cu-rich PCDs,Luoboling Cu-Mo,64.16,0.53,15.4,2.04,0.05,2.02,6.36,1.8,7.37,0.26,187.0,442.0,17.1,121.0,13.8,767.0,27.4,54.6,6.2,22.8,4.11,1.25,3.48,0.51,2.78,0.55,1.55,0.24,1.58,0.25,3.3,1.4,13.85,6.28
1,Cu-rich PCDs,Baogutu Cu-Mo,54.7,0.83,17.7,7.09,0.16,4.82,7.25,3.71,1.0,0.18,36.3,690.0,12.7,156.0,2.08,318.0,13.2,28.5,3.85,17.2,3.36,1.1,2.96,0.48,2.5,0.47,1.34,0.19,1.2,0.18,3.47,0.14,2.18,0.78
1,Cu-rich PCDs,Baogutu Cu-Mo,57.38,0.73,16.98,7.81,0.11,4.3,6.73,3.96,0.96,0.18,19.39,673.0,12.78,83.94,1.86,428.0,8.71,21.41,2.67,12.85,2.79,1.09,2.83,0.44,2.37,0.49,1.45,0.21,1.23,0.21,2.46,0.1,1.48,0.34
1,Cu-rich PCDs,Xiaokelehe Cu-Mo,64.7,0.6,16.63,4.09,0.11,1.28,3.22,5.0,2.86,0.24,50.8,1180.0,7.4,197.0,6.0,1010.0,29.9,60.1,6.95,25.6,4.32,1.06,2.51,0.3,1.61,0.28,0.66,0.09,0.54,0.08,4.8,0.34,3.33,0.95
0,Au-rich PCDs,Cobre Panama Cu-Mo-Au,60.95,0.55,16.24,5.9,0.34,2.32,3.81,4.01,2.73,0.2,58.7,423.2,14.0,88.4,6.0,1017.0,15.1,28.3,3.33,14.4,2.69,0.78,2.54,0.39,2.28,0.48,1.59,0.22,1.54,0.23,2.7,0.4,2.8,1.2
1,Cu-rich PCDs,Wunugetushan Cu-Mo,69.91,0.21,15.01,1.0,0.04,0.38,2.64,3.13,4.59,0.09,124.0,297.0,6.7,110.0,4.2,836.0,21.2,40.6,4.25,15.1,2.38,0.63,1.7,0.23,1.18,0.23,0.65,0.1,0.66,0.1,3.2,0.3,3.76,1.34
0,Au-rich PCDs,Altar region Cu-Au,64.12,0.69,18.62,3.53,0.03,1.2,2.2,5.28,1.61,0.08,59.9,837.4,9.1,147.6,4.8,484.0,21.5,45.2,5.4,21.1,3.45,0.89,2.3,0.3,1.54,0.24,0.72,0.11,0.67,0.09,4.0,0.3,3.3,1.0
0,Au-rich PCDs,Pulang Cu-Au,66.3,0.49,13.9,4.24,0.04,2.04,2.62,2.96,5.19,0.34,152.0,655.0,16.3,147.0,13.4,1200.0,27.8,55.5,6.36,23.6,4.74,1.15,3.58,0.6,2.94,0.58,1.65,0.25,1.51,0.24,4.21,1.08,20.5,3.35
1,Cu-rich PCDs,Quellaveco Cu-Mo,65.65,0.35,16.57,3.66,0.03,1.16,2.91,4.26,3.29,0.16,81.9,663.6,6.5,93.1,3.7,802.0,15.3,29.7,3.32,13.1,2.42,0.63,1.75,0.23,1.34,0.23,0.69,0.1,0.7,0.1,2.7,0.2,3.3,1.3
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.4,0.3,16.0,2.6,0.1,0.7,3.2,4.8,2.1,0.1,38.3,514.0,6.0,65.1,2.1,828.0,9.8,19.4,2.3,8.9,1.7,0.5,1.6,0.2,1.0,0.2,0.7,0.1,0.7,0.1,1.9,0.2,1.3,0.8
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.6,0.3,16.1,2.8,0.1,0.9,3.5,4.6,1.7,0.1,30.4,634.6,5.5,70.1,1.8,929.0,10.3,18.7,2.3,9.8,1.4,0.6,1.4,0.2,1.0,0.2,0.6,0.1,0.6,0.1,2.3,0.2,1.5,0.7
0,Au-rich PCDs,Oyu Tolgoi Cu-Au,65.13,0.31,16.21,3.68,0.1,0.79,1.97,4.99,3.36,0.12,60.0,499.0,12.1,111.0,4.7,841.0,11.5,21.9,2.49,10.1,2.09,0.68,1.97,0.31,1.9,0.4,1.25,0.2,1.46,0.25,2.5,0.34,2.63,1.32
1,Cu-rich PCDs,Wunugetushan Cu-Mo,67.6,0.21,14.55,2.09,0.05,0.49,1.62,2.97,5.43,0.09,102.5,403.0,6.6,27.8,2.5,780.0,21.4,41.8,4.3,16.1,2.4,0.6,1.6,0.2,1.0,0.2,0.6,0.1,0.5,0.1,1.1,0.2,4.0,0.8
